Label,variety,hmotnost (g),vyska (mm),sirka (mm),sirka (mm),Objem,Hustota,Ek,c11,c12,d. area (mm2),id,Fa,k_a,Fb,Fa/Fb,Ft,rear_slope
G20,B217,229.6,69.6,86.6,82.8,287.061183550652,0.799829489867226,0.119,0.259891532474145,0.313844290649227,87.8468529533822,,,,,,,
H01,B231,167.5,57.6,71.5,71.9,180.2407221665,0.929312743461324,0.119,0.194153369921481,0.247620707615811,75.2101104157839,H_01,52.320802,66.3527058787984,88.591914,0.590582138229907,53.6290859166667,2.93474796410951
H02,B231,103.8,47.1,60.8,65.4,114.242728184554,0.90859174714662,0.119,0.289628748507802,0.387991117622872,73.8066590807896,,,,,,,
H03,B231,79.5,46.4,53.1,55,82.9488465396189,0.958422007255139,0.119,0.311810595097945,0.42900748731724,52.5990919142303,H_03,33.4385033333333,43.7421905412872,100.605763333333,0.332371647760803,68.0754804153006,0.71713294900752
H04,B231,98.9,50.5,59.6,60,107.422266800401,0.920665732959851,0.119,0.289628748507802,0.387991117622872,57.1444177545219,,,,,,,
H05,B231,114,50,69.9,64,126.278836509529,0.902764098490866,0.119,0.302844196542596,0.344170714489728,72.2977879496641,H_05,48.1048723333333,59.5518286378983,91.5333676666667,0.525544657206483,61.3592144175439,0.488685671629279
H06,B231,134.7,58.6,66.7,66.4,148.545636910732,0.906792032410533,0.119,0.320901454613614,0.365311960823177,37.9399558136197,,,,,,,
H07,B231,225.1,66.5,81,78.6,151.8555667001,1.48232959048877,0.119,0.243593896495021,0.272447079756748,80.2709707007016,H_07,66.9502296666667,58.8912386193908,77.7285233333333,0.861334125434949,46.265869645946,0.919064935789052
H08,B231,136.8,50.6,67.1,68.1,149.849548645938,0.912915662650602,0.119,0.283031496653737,0.350908668927297,59.8946132555083,,,,,,,
H09,B231,144.7,53.8,69.2,67.1,155.06519558676,0.933155886157827,0.119,0.272447079756748,0.289628748507802,83.3028622990005,H_09,47.472252,50.2209391189213,79.8928896666667,0.594198710274046,55.0187989277109,-0.221126634373665
H10,B231,147.5,55.8,72,69.5,165.396188565697,0.891798059429958,0.119,0.187029523761324,0.294002618657958,67.4479721605813,,,,,,,
H11,B231,203.9,64.4,76.4,78.1,232.196589769308,0.878135205183585,0.119,0.165112612797198,0.203453857439862,68.5406467333417,H_11,60.747384,57.4650857648244,79.7728303333333,0.761504684566977,53.9781957289973,-2.63392223405551
H12,B231,142.3,61.9,69.2,73,158.375125376128,0.898499683343889,0.119,0.296050932778998,0.283031496653737,58.86006950861,,,,,,,
H13,B231,136.2,54.4,68.1,67.5,145.536609829488,0.93584700206754,0.119,0.183516133101045,0.298407782729977,59.7186966751644,H_13,51.313491,56.6172432059004,83.1641766666667,0.617014357103197,59.7248003973333,1.99742862961564
H14,B231,155.3,54.3,76,73.5,174.724172517553,0.888829506314581,0.119,0.276695338690604,0.307311815601136,78.5259572771729,,,,,,,
H15,B231,143.3,50.9,69.3,66.9,157.973921765296,0.907111746031746,0.119,0.304885742281026,0.379988253409742,74.099592354582,H_15,67.436404,61.786332407898,89.80702,0.750903481710004,62.9918594656716,-1.15507682431386
H16,B231,178.6,61.5,74.6,72.8,199.297893681043,0.896145948666331,0.119,0.235635712798206,0.253745100790769,74.3064692122062,,,,,,,
H17,B231,163.3,60.4,71.6,70.6,184.553660982949,0.8848375,0.119,0.235635712798206,0.332131173015808,91.4642466630866,H_17,56.741888,56.0295903943753,82.2439416666667,0.689921796671346,56.3432258631922,-1.2228124491862
H18,B231,165.4,58.9,68.8,72.1,189.869608826479,0.871124141574221,0.119,0.285286216146912,0.332131173015808,91.7844827586207,,,,,,,
H19,B231,154.7,60.1,71.5,70.6,174.122367101304,0.88845564516129,0.119,0.218356923539637,0.291680040167488,83.8490154709877,H_19,54.499681,61.927948807831,74.3464123333333,0.733050584279034,49.863458019337,-3.23842853445285
H20,B231,178.2,60.3,70,76.2,198.996990972919,0.895490927419355,0.119,0.131731523673007,0.231704420038188,78.6757197309532,,,,,,,
I01,B273,185.8,64.9,73.8,79.1,219.458375125376,0.846629798903108,0.119,0.28097506512839,0.313844290649227,72.9391453731206,I_01,41.246318,40.5459948215304,80.7267083333333,0.510937691521961,43.9676707420635,-4.02936173413788
I02,B273,235.1,73.9,84.9,79.4,275.325977933801,0.853896903460838,0.119,0.222162272704677,0.253745100790769,85.4597903143789,,,,,,,
I03,B273,223.2,67,84.1,79.3,165.195586760281,1.35112568306011,0.119,0.165112612797198,0.274507561718113,60.6852916187716,I_03,55.222016,47.1204506330773,86.6848176666667,0.637043688692383,39.1377866816143,-1.65903328554105
I04,B273,197,65.8,75.9,79,235.707121364092,0.835782978723404,0.119,0.231704420038188,0.243593896495021,57.1239379344396,,,,,,,
I05,B273,241.3,75.5,83.2,84,289.568706118355,0.833308278489782,0.119,0.212527514652246,0.266108574579285,78.5921798197706,I_05,47.685984,42.3249391088188,78.273408,0.609223300970874,41.7280607966805,-1.91774074269664
I06,B273,173.7,61.4,74.2,75.5,193.58074222668,0.8973,0.119,0.216298825849708,0.227805046015148,62.3625051996169,,,,,,,
I07,B273,223.6,73.4,75.7,79.4,260.280842527583,0.859072061657033,0.119,0.233768714052494,0.24166461746428,46.0098730785227,I_07,53.854527,51.5229168737078,85.3766986666667,0.630787180121152,58.6853805401929,-5.90266006908206
