Label,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
H01,187.27,80.56,79.7,60.29,0.301,0.19850792690460117,0.26607861204191585,0.20519281607831763,0.26607861204191585
H02,169.94,76.98,72.69,59.31,0.301,0.14682315396258436,0.26607861204191585,0.17696523586965998,0.2813846272411951
H03,200.66,84.05,73.62,66.67,0.301,0.13736495324463194,0.25361546701747406,0.18457942461725524,0.24755719532447218
H04,213.93,82.53,78.5,67.35,0.301,0.15782112165636716,0.23661897870015688,0.1707267181080462,0.2800977426318378
H05,202.96,82.67,78.87,61.23,0.301,0.1674107700868747,0.26731233910197355,0.13801464558580917,0.22118439568021528
H06,173.69,77.17,76.58,63.1,0.301,0.17696523586965998,0.25232192399677245,0.19943917318376045,0.29578758428503044
H07,193.33,79.86,82.12,58.98,0.301,0.13183317822123958,0.23294085752084678,0.1585637606700199,0.22118439568021528
H08,265.28,88.21,88.56,66.9,0.301,0.1546030884798328,0.23423436300454167,0.1355090627013855,0.18457942461725524
H09,193.59,82.35,77.18,60.89,0.301,0.16056170500389316,0.2498612082846614,0.1449077426899246,0.22351354968183249
H10,197.32,79.85,80.27,61.82,0.301,0.19850792690460117,0.2891793425291728,0.1875935061077615,0.29578758428503044
H11,221.02,89.81,84.2,60.54,0.119,0.24166461746428036,0.266108574579285,0.23376871405249441,0.2745075617181131
H12,204.09,83.91,82.67,60.63,0.119,0.27875393179610863,0.3275133423570122,0.2916800401674882,0.31836985568931364
H13,221.25,84.42,85.91,62.99,0.119,0.24968677569126596,0.2537451007907685,0.24968677569126596,0.27875393179610863
H14,207.77,85.16,78.29,65.27,0.119,0.20508126297029033,0.19415336992148094,0.25783486948349654,0.26195604108022114
H15,213.87,85.66,80.73,63.25,0.119,0.27029242866701153,0.3093495712737663,0.2298682062943854,0.23376871405249441
H16,222.83,84.32,83.5,61.55,0.119,0.21084164976645944,0.21084164976645944,0.266108574579285,0.296050932778998
H17,230.8,87.43,83.0,61.07,0.119,0.25783486948349654,0.2916800401674882,0.2221622727046771,0.2298682062943854
H18,221.11,87.2,82.94,62.88,0.119,0.23770086414948496,0.2221622727046771,0.266108574579285,0.31384429064922675
H19,185.89,82.65,75.4,58.71,0.119,0.28303149665373734,0.30045284808177225,0.27029242866701153,0.27875393179610863
H20,209.34,82.02,83.45,62.78,0.119,0.23770086414948496,0.24968677569126596,0.2537451007907685,0.2916800401674882
I01,266.0,88.0,86.0,69.0,0.301,0.10580318760458764,0.10044995164866553,0.19320315785632655,0.21099338974100396
I02,238.0,83.0,79.0,69.0,0.301,0.20970580959366245,0.24142091890020104,0.17991012320097707,0.2007249137615957
I03,174.0,72.36,74.47,62.81,0.301,0.20744368751212236,0.3118510996098315,0.17696523586965998,0.2878956032683117
I04,237.66,80.31,75.91,80.02,0.301,0.13303706192012757,0.17823147189842903,0.18975358324884037,0.22015709699601269
I05,241.49,84.21,81.68,67.96,0.301,0.13001322050585853,0.21555300871227417,0.1963022787467532,0.22949795734834094
I06,241.18,87.24,80.98,75.78,0.301,0.22714621383642034,0.26106131648942393,0.1546030884798328,0.24497229902002443
I07,179.6,76.62,72.73,65.01,0.301,0.12109399096161341,0.22949795734834094,0.1546030884798328,0.2891793425291728
I08,187.63,79.79,75.06,62.22,0.301,0.16662573436627304,0.27368415719756684,0.2165594562661777,0.2997177096997695
I09,170.52,75.76,70.63,64.42,0.301,0.19850792690460117,0.29442783846320797,0.1361501338745708,0.248705247237843
I10,200.56,79.0,76.43,67.62,0.301,0.25727575634352295,0.3200212093438153,0.1707267181080462,0.2852858242467907
