Label,Variety,hmotnost (g),sirka (mm),sirka (mm),vyska (mm),Ek,c11,c12,c21,c22
I02,B273,238,83,79,69,0.301,0.2097058096,0.2414209189,0.1799101232,0.2007249138
I03,B273,174,72.36,74.47,62.81,0.301,0.2074436875,0.3118510996,0.1769652359,0.2878956033
I04,B273,237.66,80.31,75.91,80.02,0.301,0.1330370619,0.1782314719,0.1897535832,0.220157097
I05,B273,241.49,84.21,81.68,67.96,0.301,0.1300132205,0.2155530087,0.1963022787,0.2294979573
I06,B273,241.18,87.24,80.98,75.78,0.301,0.2271462138,0.2610613165,0.1546030885,0.244972299
I07,B273,179.6,76.62,72.73,65.01,0.301,0.121093991,0.2294979573,0.1546030885,0.2891793425
I08,B273,187.63,79.79,75.06,62.22,0.301,0.1666257344,0.2736841572,0.2165594563,0.2997177097
I09,B273,170.52,75.76,70.63,64.42,0.301,0.1985079269,0.2944278385,0.1361501339,0.2487052472
I10,B273,200.56,79,76.43,67.62,0.301,0.2572757563,0.3200212093,0.1707267181,0.2852858242
I11,B273,249.85,80.14,83.24,74.68,0.119,0.3183698557,0.3461684621,0.2496867757,0.3183698557
I12,B273,203.61,80.42,77.71,63.8,0.119,0.2809750651,0.3093495713,0.2221622727,0.1998078589
I13,B273,227.29,80,76.34,69.59,0.119,0.2108416498,0.2034538574,0.2873402137,0.3229262214
I14,B273,168.93,79.54,67.45,60.65,0.119,0.3028441965,0.3536942827,0.3229262214,0.3653119608
I15,B273,196.53,75,75.92,67.64,0.119,0.3229262214,0.3509086689,0.3604804659,0.3999790364
I16,B273,229.18,81.83,75.56,74.51,0.119,0.3799882534,0.4308638457,0.3509086689,0.3849407913
I17,B273,226.09,82.8,78.8,70.01,0.119,0.3183698557,0.3509086689,0.2619560411,0.2960509328
I18,B273,221.51,78.6,75.03,73.09,0.119,0.2916800402,0.3509086689,0.3163404899,0.3509086689
I19,B273,285.72,85.72,81.4,79.01,0.119,0.2916800402,0.3414587793,0.3158679325,0.3721270033
I20,B273,221.61,79.75,80.44,67.68,0.119,0.3004528481,0.3701737893,0.3093495713,0.3414587793
J01,HL862,171.35,75.06,71.52,62.6,0.301,0.2245585402,0.3310565403,0.1727946388,0.3050487487
J02,HL862,172.16,74.47,71.96,67.44,0.301,0.2474113252,0.3011008488,0.1811820367,0.2723946939
J03,HL862,147.51,69.97,68.72,64.06,0.301,0.262272627,0.3605765729,0.1975831285,0.3158334921
J04,HL862,174.66,73.26,71.11,65.23,0.301,0.2109933897,0.2891793425,0.2647871403,0.3023780963
J05,HL862,171.73,74.36,69.84,65.69,0.301,0.2329408575,0.3185550791,0.2353252413,0.253615467
J06,HL862,170.19,71.51,73.21,65.4,0.301,0.2074436875,0.2736841572,0.1897535832,0.2839724278
J07,HL862,167.5,72.52,72.82,62.14,0.301,0.1910301666,0.2865706747,0.1790678712,0.2788072985
J08,HL862,184.5,77.19,72.95,65.38,0.301,0.2165594563,0.2711383949,0.244972299,0.3023780963
